ac_id; cust_id; start_datetime; nhours
4;0;'2012-07-11 15:00:00';2
5;4;'2012-07-11 17:00:00';2
6;0;'2012-07-11 14:00:00';2
6;0;'2012-07-11 19:30:00';2
7;0;'2012-07-11 08:00:00';2
7;0;'2012-07-11 14:00:00';2
7;0;'2012-07-11 16:30:00';2
8;4;'2012-07-11 11:00:00';1
8;3;'2012-07-11 13:00:00';1
0;0;'2012-07-12 13:30:00';3
0;2;'2012-07-12 16:30:00';3
1;1;'2012-07-12 11:30:00';3
2;1;'2012-07-12 09:00:00';3
2;1;'2012-07-12 18:30:00';3
3;3;'2012-07-12 18:00:00';2
4;1;'2012-07-12 16:00:00';2
6;0;'2012-07-12 12:00:00';4
7;2;'2012-07-12 08:00:00';2
7;4;'2012-07-12 13:30:00';2
7;4;'2012-07-12 16:00:00';2
8;3;'2012-07-12 16:30:00';1
0;2;'2012-07-13 10:30:00';3
0;4;'2012-07-13 14:00:00';3
0;3;'2012-07-13 17:00:00';3
1;1;'2012-07-13 15:00:00';3
2;1;'2012-07-13 09:00:00';3
2;0;'2012-07-13 15:00:00';3
2;1;'2012-07-13 16:30:00';3
4;0;'2012-07-13 11:00:00';2
4;0;'2012-07-13 13:30:00';2
4;0;'2012-07-13 15:00:00';2
4;3;'2012-07-13 16:00:00';2
4;4;'2012-07-13 17:30:00';2
6;0;'2012-07-13 09:30:00';2
7;0;'2012-07-13 08:00:00';2
7;1;'2012-07-13 11:00:00';2
7;4;'2012-07-13 12:30:00';2
8;0;'2012-07-13 15:30:00';1
8;2;'2012-07-13 18:30:00';1
0;2;'2012-07-14 08:30:00';3
0;4;'2012-07-14 11:30:00';3
0;3;'2012-07-14 15:00:00';3
1;3;'2012-07-14 10:30:00';3
1;3;'2012-07-14 12:30:00';3
1;0;'2012-07-14 14:30:00';3
2;1;'2012-07-14 08:30:00';3
3;2;'2012-07-14 16:00:00';2
4;3;'2012-07-14 08:00:00';2
4;1;'2012-07-14 14:30:00';2
6;0;'2012-07-14 09:30:00';2
6;1;'2012-07-14 12:30:00';2
6;0;'2012-07-14 15:00:00';2
7;2;'2012-07-14 12:30:00';2
7;2;'2012-07-14 15:00:00';2
7;4;'2012-07-14 16:30:00';2
7;1;'2012-07-14 19:00:00';2
8;3;'2012-07-14 09:00:00';1
8;1;'2012-07-14 17:00:00';1
0;2;'2012-07-15 08:00:00';3
0;0;'2012-07-15 16:00:00';3
0;2;'2012-07-15 19:00:00';3
1;0;'2012-07-15 10:00:00';3
1;0;'2012-07-15 12:00:00';3
1;3;'2012-07-15 15:30:00';3
2;1;'2012-07-15 13:00:00';3
3;1;'2012-07-15 17:30:00';2
4;3;'2012-07-15 11:30:00';2
4;0;'2012-07-15 15:00:00';2
4;3;'2012-07-15 17:30:00';2
7;4;'2012-07-15 14:30:00';2
7;4;'2012-07-15 17:00:00';2
8;4;'2012-07-15 10:00:00';1
8;2;'2012-07-15 12:00:00';1
8;3;'2012-07-15 12:30:00';1
8;3;'2012-07-15 13:30:00';1
0;5;'2012-07-16 11:00:00';3
0;5;'2012-07-16 19:00:00';3
1;1;'2012-07-16 08:00:00';3
1;0;'2012-07-16 12:30:00';3
2;1;'2012-07-16 16:30:00';3
4;3;'2012-07-16 09:00:00';2
4;1;'2012-07-16 11:00:00';2
4;3;'2012-07-16 12:00:00';2
4;3;'2012-07-16 17:30:00';2
6;0;'2012-07-16 18:30:00';2
7;4;'2012-07-16 08:00:00';2
7;2;'2012-07-16 11:30:00';2
7;4;'2012-07-16 12:30:00';2
7;5;'2012-07-16 14:00:00';2
8;4;'2012-07-16 12:00:00';1
8;1;'2012-07-16 15:00:00';1
8;4;'2012-07-16 18:00:00';1
8;3;'2012-07-16 19:30:00';1
0;5;'2012-07-17 12:30:00';3
0;5;'2012-07-17 18:00:00';3
1;1;'2012-07-17 10:00:00';3
1;4;'2012-07-17 14:30:00';3
2;5;'2012-07-17 10:30:00';3
2;1;'2012-07-17 12:30:00';3
2;1;'2012-07-17 15:30:00';3
2;2;'2012-07-17 19:00:00';3
3;1;'2012-07-17 14:00:00';2
3;2;'2012-07-17 15:00:00';2
4;0;'2012-07-17 09:00:00';2
4;3;'2012-07-17 10:30:00';2
4;3;'2012-07-17 12:00:00';2
4;5;'2012-07-17 16:00:00';2
4;3;'2012-07-17 18:30:00';2
5;0;'2012-07-17 13:30:00';2
6;4;'2012-07-17 12:00:00';2
6;0;'2012-07-17 14:00:00';2
7;4;'2012-07-17 08:00:00';2
7;5;'2012-07-17 14:00:00';2
7;4;'2012-07-17 16:00:00';2
8;3;'2012-07-17 08:30:00';1
8;2;'2012-07-17 11:00:00';1
8;3;'2012-07-17 11:30:00';1
8;3;'2012-07-17 14:30:00';1
8;0;'2012-07-17 15:00:00';1
8;3;'2012-07-17 15:30:00';1
8;3;'2012-07-17 18:00:00';1
8;3;'2012-07-17 20:00:00';1
0;5;'2012-07-18 13:00:00';3
0;5;'2012-07-18 17:30:00';3
1;0;'2012-07-18 14:00:00';3
1;0;'2012-07-18 16:30:00';3
2;1;'2012-07-18 14:00:00';3
3;2;'2012-07-18 11:30:00';2
3;3;'2012-07-18 19:00:00';2
4;1;'2012-07-18 08:30:00';2
4;4;'2012-07-18 10:00:00';2
4;5;'2012-07-18 19:00:00';2
5;0;'2012-07-18 14:30:00';2
6;0;'2012-07-18 10:30:00';2
6;0;'2012-07-18 13:00:00';2
6;0;'2012-07-18 15:00:00';2
6;1;'2012-07-18 19:30:00';2
7;4;'2012-07-18 08:30:00';2
7;4;'2012-07-18 11:00:00';2
8;3;'2012-07-18 11:00:00';1
8;0;'2012-07-18 13:00:00';1
8;3;'2012-07-18 14:30:00';1
8;4;'2012-07-18 16:00:00';1
8;3;'2012-07-18 16:30:00';1
8;4;'2012-07-18 20:00:00';1
0;2;'2012-07-19 08:30:00';3
0;4;'2012-07-19 10:30:00';3
0;5;'2012-07-19 12:00:00';3
0;0;'2012-07-19 13:30:00';3
0;5;'2012-07-19 16:30:00';3
1;1;'2012-07-19 11:30:00';3
1;0;'2012-07-19 15:00:00';3
1;0;'2012-07-19 18:30:00';3
2;1;'2012-07-19 09:30:00';3
2;0;'2012-07-19 11:30:00';3
2;1;'2012-07-19 14:30:00';3
2;2;'2012-07-19 16:00:00';3
3;3;'2012-07-19 08:30:00';2
3;3;'2012-07-19 17:00:00';2
3;3;'2012-07-19 18:30:00';2
4;3;'2012-07-19 12:00:00';2
4;5;'2012-07-19 14:30:00';2
4;0;'2012-07-19 16:30:00';2
4;1;'2012-07-19 18:30:00';2
4;0;'2012-07-19 19:30:00';2
5;0;'2012-07-19 08:30:00';2
6;4;'2012-07-19 12:30:00';2
6;2;'2012-07-19 14:00:00';2
6;0;'2012-07-19 15:00:00';2
6;0;'2012-07-19 16:30:00';2
7;2;'2012-07-19 13:00:00';2
7;0;'2012-07-19 14:00:00';2
7;0;'2012-07-19 16:30:00';2
7;4;'2012-07-19 17:30:00';4
8;3;'2012-07-19 11:00:00';1
8;1;'2012-07-19 13:30:00';1
8;3;'2012-07-19 14:30:00';1
8;3;'2012-07-19 18:00:00';1
8;3;'2012-07-19 20:00:00';1
0;3;'2012-07-20 08:00:00';3
0;5;'2012-07-20 12:00:00';3
0;5;'2012-07-20 14:00:00';3
0;5;'2012-07-20 17:30:00';3
0;0;'2012-07-20 19:00:00';3
1;2;'2012-07-20 08:30:00';3
1;3;'2012-07-20 12:00:00';3
1;4;'2012-07-20 13:30:00';3
2;1;'2012-07-20 14:30:00';3
3;3;'2012-07-20 15:00:00';2
3;1;'2012-07-20 17:30:00';2
4;5;'2012-07-20 08:00:00';2
4;0;'2012-07-20 13:00:00';2
4;1;'2012-07-20 16:30:00';2
4;0;'2012-07-20 17:30:00';2
4;3;'2012-07-20 18:30:00';2
6;0;'2012-07-20 11:00:00';2
6;4;'2012-07-20 12:30:00';2
6;2;'2012-07-20 15:00:00';2
6;0;'2012-07-20 16:00:00';4
7;2;'2012-07-20 12:30:00';2
7;2;'2012-07-20 16:00:00';2
7;4;'2012-07-20 19:30:00';2
8;1;'2012-07-20 09:00:00';1
8;2;'2012-07-20 12:00:00';1
8;3;'2012-07-20 19:30:00';1
0;0;'2012-07-21 08:00:00';3
0;5;'2012-07-21 11:00:00';3
0;5;'2012-07-21 13:30:00';3
0;4;'2012-07-21 15:30:00';3
1;1;'2012-07-21 09:30:00';3
1;0;'2012-07-21 11:00:00';3
2;0;'2012-07-21 10:30:00';3
2;1;'2012-07-21 13:30:00';3
3;2;'2012-07-21 08:00:00';2
4;0;'2012-07-21 09:00:00';2
4;3;'2012-07-21 10:30:00';2
4;0;'2012-07-21 14:00:00';4
4;3;'2012-07-21 16:00:00';2
4;1;'2012-07-21 17:00:00';2
4;0;'2012-07-21 19:00:00';2
6;4;'2012-07-21 08:00:00';2
6;0;'2012-07-21 09:30:00';2
6;0;'2012-07-21 12:00:00';2
8;3;'2012-07-21 09:30:00';1
8;3;'2012-07-21 11:30:00';1
8;3;'2012-07-21 18:00:00';2
8;3;'2012-07-21 19:30:00';1
0;5;'2012-07-22 10:00:00';3
0;0;'2012-07-22 16:00:00';3
0;2;'2012-07-22 18:00:00';3
1;0;'2012-07-22 08:30:00';3
1;0;'2012-07-22 10:30:00';3
1;5;'2012-07-22 18:30:00';3
2;1;'2012-07-22 08:30:00';3
2;1;'2012-07-22 13:30:00';3
2;1;'2012-07-22 16:30:00';3
3;3;'2012-07-22 11:30:00';2
3;2;'2012-07-22 14:00:00';2
4;4;'2012-07-22 08:00:00';2
4;3;'2012-07-22 10:30:00';2
4;0;'2012-07-22 12:00:00';2
4;5;'2012-07-22 13:00:00';2
4;0;'2012-07-22 16:30:00';2
4;1;'2012-07-22 18:00:00';2
4;3;'2012-07-22 19:30:00';2
6;4;'2012-07-22 10:30:00';4
6;0;'2012-07-22 14:30:00';2
6;0;'2012-07-22 16:30:00';2
7;2;'2012-07-22 10:30:00';2
7;2;'2012-07-22 12:00:00';2
8;3;'2012-07-22 16:00:00';1
8;3;'2012-07-22 17:00:00';1
8;2;'2012-07-22 17:30:00';1
0;0;'2012-07-23 09:30:00';3
0;0;'2012-07-23 12:00:00';3
0;5;'2012-07-23 17:00:00';3
1;1;'2012-07-23 10:00:00';3
1;4;'2012-07-23 12:30:00';3
1;4;'2012-07-23 15:30:00';3
1;0;'2012-07-23 17:00:00';3
1;4;'2012-07-23 19:00:00';3
2;1;'2012-07-23 08:00:00';3
2;5;'2012-07-23 11:30:00';3
2;1;'2012-07-23 13:00:00';3
2;1;'2012-07-23 15:00:00';3
3;2;'2012-07-23 09:30:00';2
3;2;'2012-07-23 19:00:00';2
4;4;'2012-07-23 10:00:00';2
4;0;'2012-07-23 16:30:00';2
4;3;'2012-07-23 19:00:00';2
5;3;'2012-07-23 13:00:00';2
6;0;'2012-07-23 13:30:00';2
6;0;'2012-07-23 15:00:00';4
6;0;'2012-07-23 19:00:00';2
7;5;'2012-07-23 16:00:00';2
7;4;'2012-07-23 18:00:00';2
8;3;'2012-07-23 08:30:00';3
8;3;'2012-07-23 11:00:00';1
8;3;'2012-07-23 14:00:00';2
8;2;'2012-07-23 15:00:00';1
0;0;'2012-07-24 11:00:00';3
0;4;'2012-07-24 13:00:00';3
0;5;'2012-07-24 14:30:00';3
1;4;'2012-07-24 11:00:00';3
1;0;'2012-07-24 16:00:00';6
1;1;'2012-07-24 19:00:00';3
2;1;'2012-07-24 09:00:00';3
2;2;'2012-07-24 12:30:00';3
3;3;'2012-07-24 09:00:00';2
3;3;'2012-07-24 17:30:00';2
4;0;'2012-07-24 08:30:00';2
4;5;'2012-07-24 09:30:00';2
4;0;'2012-07-24 11:30:00';2
4;1;'2012-07-24 14:30:00';2
4;0;'2012-07-24 15:30:00';2
4;0;'2012-07-24 17:30:00';2
4;0;'2012-07-24 19:30:00';2
5;5;'2012-07-24 16:30:00';2
6;0;'2012-07-24 09:30:00';2
6;0;'2012-07-24 14:30:00';2
7;4;'2012-07-24 09:30:00';2
7;5;'2012-07-24 11:30:00';2
7;2;'2012-07-24 16:30:00';2
7;4;'2012-07-24 18:00:00';2
7;2;'2012-07-24 19:30:00';2
8;3;'2012-07-24 08:30:00';1
8;3;'2012-07-24 10:30:00';2
8;3;'2012-07-24 12:00:00';1
8;3;'2012-07-24 14:00:00';1
8;0;'2012-07-24 15:00:00';1
8;4;'2012-07-24 16:30:00';1
8;0;'2012-07-24 20:00:00';1
0;5;'2012-07-25 08:00:00';3
0;0;'2012-07-25 12:30:00';3
0;0;'2012-07-25 16:30:00';3
1;1;'2012-07-25 08:00:00';3
1;0;'2012-07-25 10:30:00';3
1;4;'2012-07-25 15:00:00';3
2;1;'2012-07-25 13:30:00';3
2;1;'2012-07-25 17:30:00';3
3;2;'2012-07-25 10:00:00';2
3;3;'2012-07-25 14:00:00';4
3;3;'2012-07-25 17:00:00';2
3;2;'2012-07-25 18:30:00';2
4;3;'2012-07-25 08:30:00';2
4;0;'2012-07-25 09:30:00';4
4;3;'2012-07-25 11:30:00';4
4;5;'2012-07-25 13:30:00';4
4;3;'2012-07-25 16:00:00';2
4;3;'2012-07-25 18:00:00';2
4;3;'2012-07-25 19:30:00';2
5;0;'2012-07-25 18:30:00';2
6;4;'2012-07-25 08:30:00';2
6;1;'2012-07-25 09:30:00';2
6;0;'2012-07-25 12:00:00';2
6;0;'2012-07-25 13:30:00';2
6;0;'2012-07-25 16:30:00';4
6;5;'2012-07-25 19:00:00';2
7;5;'2012-07-25 10:30:00';2
7;2;'2012-07-25 14:00:00';2
7;2;'2012-07-25 16:00:00';2
8;3;'2012-07-25 08:00:00';1
8;3;'2012-07-25 10:00:00';1
8;4;'2012-07-25 14:30:00';1
8;1;'2012-07-25 16:00:00';1
8;2;'2012-07-25 20:00:00';1
0;4;'2012-07-26 09:00:00';3
0;0;'2012-07-26 11:30:00';3
0;4;'2012-07-26 18:00:00';3
1;8;'2012-07-26 08:00:00';3
1;8;'2012-07-26 11:30:00';3
1;8;'2012-07-26 13:30:00';3
1;1;'2012-07-26 15:00:00';3
1;0;'2012-07-26 16:30:00';3
1;6;'2012-07-26 19:00:00';3
2;1;'2012-07-26 08:30:00';3
2;2;'2012-07-26 11:00:00';6
2;7;'2012-07-26 14:00:00';3
2;2;'2012-07-26 17:00:00';3
2;3;'2012-07-26 19:00:00';3
3;0;'2012-07-26 09:00:00';2
3;0;'2012-07-26 13:30:00';2
3;3;'2012-07-26 16:00:00';2
4;3;'2012-07-26 08:00:00';2
4;6;'2012-07-26 09:00:00';2
4;0;'2012-07-26 12:00:00';2
4;5;'2012-07-26 13:30:00';2
4;6;'2012-07-26 16:00:00';2
4;7;'2012-07-26 17:30:00';2
6;0;'2012-07-26 10:00:00';4
6;0;'2012-07-26 13:00:00';2
6;0;'2012-07-26 19:00:00';2
7;7;'2012-07-26 09:30:00';2
7;6;'2012-07-26 11:00:00';2
7;5;'2012-07-26 12:30:00';2
7;4;'2012-07-26 13:30:00';2
7;5;'2012-07-26 17:00:00';2
8;3;'2012-07-26 12:00:00';1
8;3;'2012-07-26 13:30:00';1
8;2;'2012-07-26 15:00:00';1
8;1;'2012-07-26 16:30:00';1
8;3;'2012-07-26 17:00:00';1
0;4;'2012-07-27 08:00:00';3
0;5;'2012-07-27 11:00:00';3
0;6;'2012-07-27 14:00:00';3
0;6;'2012-07-27 17:30:00';3
1;0;'2012-07-27 10:00:00';3
1;7;'2012-07-27 11:30:00';3
1;0;'2012-07-27 13:00:00';3
1;0;'2012-07-27 15:00:00';3
1;0;'2012-07-27 18:00:00';3
2;1;'2012-07-27 12:00:00';6
3;0;'2012-07-27 10:30:00';2
3;2;'2012-07-27 14:00:00';2
3;3;'2012-07-27 19:00:00';2
4;1;'2012-07-27 10:00:00';4
4;6;'2012-07-27 12:30:00';2
4;0;'2012-07-27 14:00:00';4
4;0;'2012-07-27 16:30:00';2
4;1;'2012-07-27 17:30:00';2
4;0;'2012-07-27 18:30:00';2
5;7;'2012-07-27 18:00:00';2
6;0;'2012-07-27 09:00:00';2
6;5;'2012-07-27 14:00:00';2
6;8;'2012-07-27 16:30:00';2
7;2;'2012-07-27 18:00:00';2
7;4;'2012-07-27 19:00:00';2
8;3;'2012-07-27 09:00:00';1
8;3;'2012-07-27 12:30:00';1
8;3;'2012-07-27 16:00:00';1
8;6;'2012-07-27 16:30:00';1
8;0;'2012-07-27 18:30:00';1
0;7;'2012-07-28 08:00:00';9
0;4;'2012-07-28 13:00:00';3
0;5;'2012-07-28 15:00:00';3
0;2;'2012-07-28 19:00:00';3
1;1;'2012-07-28 08:00:00';3
1;0;'2012-07-28 10:00:00';3
1;0;'2012-07-28 16:00:00';3
1;7;'2012-07-28 17:30:00';3
2;1;'2012-07-28 10:00:00';3
2;1;'2012-07-28 14:00:00';3
2;1;'2012-07-28 17:00:00';3
2;5;'2012-07-28 18:30:00';3
3;3;'2012-07-28 08:30:00';2
3;3;'2012-07-28 15:30:00';2
4;0;'2012-07-28 09:00:00';2
4;3;'2012-07-28 10:30:00';4
4;0;'2012-07-28 12:30:00';2
4;8;'2012-07-28 16:00:00';2
4;0;'2012-07-28 19:00:00';2
5;0;'2012-07-28 18:00:00';2
6;0;'2012-07-28 17:00:00';2
6;0;'2012-07-28 18:30:00';2
7;2;'2012-07-28 09:00:00';2
7;5;'2012-07-28 10:00:00';2
7;6;'2012-07-28 12:30:00';2
7;8;'2012-07-28 17:00:00';4
8;2;'2012-07-28 16:00:00';1
8;3;'2012-07-28 16:30:00';1
8;4;'2012-07-28 19:00:00';1
0;7;'2012-07-29 09:30:00';3
0;2;'2012-07-29 11:00:00';3
0;6;'2012-07-29 13:00:00';3
0;5;'2012-07-29 15:00:00';3
0;0;'2012-07-29 17:00:00';3
1;8;'2012-07-29 09:30:00';3
1;0;'2012-07-29 15:00:00';3
1;8;'2012-07-29 16:30:00';3
2;1;'2012-07-29 08:30:00';3
2;1;'2012-07-29 12:00:00';6
2;1;'2012-07-29 15:30:00';3
4;3;'2012-07-29 08:00:00';2
4;0;'2012-07-29 09:00:00';2
4;3;'2012-07-29 10:30:00';2
4;8;'2012-07-29 11:30:00';4
4;8;'2012-07-29 15:00:00';2
4;0;'2012-07-29 18:30:00';2
6;0;'2012-07-29 09:00:00';2
6;0;'2012-07-29 10:30:00';2
6;6;'2012-07-29 17:30:00';4
7;4;'2012-07-29 16:00:00';2
7;8;'2012-07-29 18:30:00';2
8;3;'2012-07-29 12:30:00';1
8;7;'2012-07-29 13:00:00';1
8;3;'2012-07-29 15:30:00';1
8;3;'2012-07-29 18:00:00';1
0;5;'2012-07-30 14:00:00';3
0;6;'2012-07-30 15:30:00';3
0;7;'2012-07-30 19:00:00';3
1;8;'2012-07-30 08:30:00';3
1;7;'2012-07-30 11:00:00';3
1;2;'2012-07-30 13:30:00';3
1;1;'2012-07-30 15:30:00';3
2;5;'2012-07-30 10:00:00';3
2;8;'2012-07-30 11:30:00';3
2;7;'2012-07-30 15:00:00';3
2;0;'2012-07-30 17:30:00';3
3;3;'2012-07-30 11:30:00';2
3;4;'2012-07-30 16:30:00';2
4;0;'2012-07-30 08:00:00';2
4;0;'2012-07-30 10:30:00';2
4;0;'2012-07-30 12:00:00';2
4;7;'2012-07-30 18:00:00';2
4;3;'2012-07-30 19:30:00';2
5;0;'2012-07-30 12:30:00';2
5;0;'2012-07-30 14:00:00';2
6;0;'2012-07-30 08:30:00';2
6;0;'2012-07-30 12:00:00';2
6;0;'2012-07-30 14:30:00';2
6;0;'2012-07-30 17:30:00';2
7;7;'2012-07-30 08:00:00';2
7;6;'2012-07-30 09:30:00';2
7;8;'2012-07-30 14:30:00';2
7;5;'2012-07-30 16:30:00';2
7;4;'2012-07-30 18:00:00';2
7;6;'2012-07-30 19:00:00';2
8;3;'2012-07-30 08:30:00';1
8;2;'2012-07-30 09:00:00';1
8;2;'2012-07-30 11:00:00';1
8;2;'2012-07-30 12:30:00';1
8;3;'2012-07-30 15:00:00';2
8;5;'2012-07-30 16:00:00';1
8;2;'2012-07-30 16:30:00';1
8;3;'2012-07-30 18:30:00';1
8;1;'2012-07-30 19:30:00';1
0;7;'2012-07-31 09:30:00';3
0;0;'2012-07-31 11:00:00';3
0;0;'2012-07-31 15:00:00';3
0;5;'2012-07-31 17:00:00';3
0;0;'2012-07-31 18:30:00';3
1;0;'2012-07-31 08:00:00';3
1;7;'2012-07-31 13:00:00';3
2;1;'2012-07-31 16:30:00';3
3;3;'2012-07-31 08:30:00';2
3;1;'2012-07-31 13:00:00';2
3;1;'2012-07-31 15:30:00';2
4;8;'2012-07-31 09:30:00';2
4;0;'2012-07-31 11:00:00';2
4;3;'2012-07-31 12:00:00';2
4;2;'2012-07-31 13:00:00';2
4;3;'2012-07-31 14:00:00';2
4;0;'2012-07-31 15:00:00';2
4;6;'2012-07-31 17:00:00';2
4;7;'2012-07-31 18:30:00';2
4;0;'2012-07-31 19:30:00';2
6;0;'2012-07-31 09:00:00';2
6;5;'2012-07-31 10:00:00';2
6;6;'2012-07-31 11:00:00';2
6;0;'2012-07-31 14:30:00';2
6;6;'2012-07-31 16:00:00';2
7;4;'2012-07-31 18:30:00';2
8;3;'2012-07-31 10:00:00';1
8;3;'2012-07-31 11:30:00';1
8;5;'2012-07-31 12:00:00';1
8;7;'2012-07-31 12:30:00';1
8;8;'2012-07-31 13:30:00';1
8;6;'2012-07-31 14:00:00';1
8;4;'2012-07-31 17:00:00';1
8;2;'2012-07-31 17:30:00';1
0;5;'2012-08-01 15:30:00';3
0;5;'2012-08-01 18:00:00';3
1;8;'2012-08-01 09:00:00';9
1;8;'2012-08-01 17:30:00';3
2;1;'2012-08-01 09:30:00';6
2;1;'2012-08-01 14:30:00';3
2;1;'2012-08-01 16:30:00';3
3;7;'2012-08-01 13:00:00';2
4;5;'2012-08-01 08:00:00';2
4;6;'2012-08-01 09:00:00';2
4;0;'2012-08-01 10:30:00';6
4;3;'2012-08-01 13:30:00';4
4;3;'2012-08-01 19:30:00';2
5;7;'2012-08-01 08:30:00';2
5;0;'2012-08-01 14:30:00';2
6;0;'2012-08-01 09:30:00';2
6;0;'2012-08-01 11:00:00';4
6;6;'2012-08-01 14:30:00';2
6;0;'2012-08-01 18:00:00';2
7;4;'2012-08-01 12:30:00';2
7;2;'2012-08-01 16:00:00';2
7;5;'2012-08-01 17:00:00';2
8;3;'2012-08-01 08:30:00';2
8;2;'2012-08-01 09:30:00';1
8;3;'2012-08-01 10:30:00';1
8;3;'2012-08-01 11:30:00';1
8;8;'2012-08-01 13:30:00';1
8;8;'2012-08-01 15:00:00';1
8;3;'2012-08-01 17:00:00';1
0;8;'2012-08-02 08:00:00';3
0;5;'2012-08-02 13:00:00';3
0;7;'2012-08-02 15:30:00';3
0;5;'2012-08-02 18:30:00';3
1;8;'2012-08-02 09:30:00';3
1;8;'2012-08-02 12:00:00';3
1;0;'2012-08-02 13:30:00';3
1;5;'2012-08-02 15:30:00';3
1;0;'2012-08-02 18:00:00';3
2;1;'2012-08-02 09:30:00';3
2;0;'2012-08-02 11:30:00';3
